set,filename,label
external_usps,usps_0000_6.bmp,6
external_usps,usps_0001_5.bmp,5
external_usps,usps_0002_4.bmp,4
external_usps,usps_0003_7.bmp,7
external_usps,usps_0004_3.bmp,3
external_usps,usps_0005_6.bmp,6
external_usps,usps_0006_3.bmp,3
external_usps,usps_0007_1.bmp,1
external_usps,usps_0008_0.bmp,0
external_usps,usps_0009_1.bmp,1
external_usps,usps_0010_7.bmp,7
external_usps,usps_0011_0.bmp,0
external_usps,usps_0012_1.bmp,1
external_usps,usps_0013_1.bmp,1
external_usps,usps_0014_7.bmp,7
external_usps,usps_0015_7.bmp,7
external_usps,usps_0016_4.bmp,4
external_usps,usps_0017_8.bmp,8
external_usps,usps_0018_0.bmp,0
external_usps,usps_0019_1.bmp,1
external_usps,usps_0020_4.bmp,4
external_usps,usps_0021_8.bmp,8
external_usps,usps_0022_7.bmp,7
external_usps,usps_0023_4.bmp,4
external_usps,usps_0024_8.bmp,8
external_usps,usps_0025_7.bmp,7
external_usps,usps_0026_3.bmp,3
external_usps,usps_0027_7.bmp,7
external_usps,usps_0028_4.bmp,4
external_usps,usps_0029_1.bmp,1
external_usps,usps_0030_3.bmp,3
external_usps,usps_0031_6.bmp,6
external_usps,usps_0032_7.bmp,7
external_usps,usps_0033_4.bmp,4
external_usps,usps_0034_1.bmp,1
external_usps,usps_0035_3.bmp,3
external_usps,usps_0036_7.bmp,7
external_usps,usps_0037_7.bmp,7
external_usps,usps_0038_4.bmp,4
external_usps,usps_0039_5.bmp,5
external_usps,usps_0040_4.bmp,4
external_usps,usps_0041_2.bmp,2
external_usps,usps_0042_4.bmp,4
external_usps,usps_0043_1.bmp,1
external_usps,usps_0044_3.bmp,3
external_usps,usps_0045_4.bmp,4
external_usps,usps_0046_0.bmp,0
external_usps,usps_0047_6.bmp,6
external_usps,usps_0048_3.bmp,3
external_usps,usps_0049_2.bmp,2
external_usps,usps_0050_0.bmp,0
external_usps,usps_0051_8.bmp,8
external_usps,usps_0052_6.bmp,6
external_usps,usps_0053_6.bmp,6
external_usps,usps_0054_2.bmp,2
external_usps,usps_0055_0.bmp,0
external_usps,usps_0056_8.bmp,8
external_usps,usps_0057_8.bmp,8
external_usps,usps_0058_2.bmp,2
external_usps,usps_0059_0.bmp,0
external_usps,usps_0060_9.bmp,9
external_usps,usps_0061_0.bmp,0
external_usps,usps_0062_2.bmp,2
external_usps,usps_0063_2.bmp,2
external_usps,usps_0064_0.bmp,0
external_usps,usps_0065_8.bmp,8
external_usps,usps_0066_1.bmp,1
external_usps,usps_0067_2.bmp,2
external_usps,usps_0068_0.bmp,0
external_usps,usps_0069_8.bmp,8
external_usps,usps_0070_3.bmp,3
external_usps,usps_0071_3.bmp,3
external_usps,usps_0072_2.bmp,2
external_usps,usps_0073_8.bmp,8
external_usps,usps_0074_2.bmp,2
external_usps,usps_0075_2.bmp,2
external_usps,usps_0076_8.bmp,8
external_usps,usps_0077_1.bmp,1
external_usps,usps_0078_9.bmp,9
external_usps,usps_0079_9.bmp,9
external_usps,usps_0080_6.bmp,6
external_usps,usps_0081_6.bmp,6
external_usps,usps_0082_9.bmp,9
external_usps,usps_0083_6.bmp,6
external_usps,usps_0084_3.bmp,3
external_usps,usps_0085_9.bmp,9
external_usps,usps_0086_9.bmp,9
external_usps,usps_0087_6.bmp,6
external_usps,usps_0088_5.bmp,5
external_usps,usps_0089_9.bmp,9
external_usps,usps_0090_9.bmp,9
external_usps,usps_0091_9.bmp,9
external_usps,usps_0092_9.bmp,9
external_usps,usps_0093_5.bmp,5
external_usps,usps_0094_5.bmp,5
external_usps,usps_0095_5.bmp,5
external_usps,usps_0096_5.bmp,5
external_usps,usps_0097_5.bmp,5
external_usps,usps_0098_5.bmp,5
external_usps,usps_0099_5.bmp,5
mnist,img_0000_7.bmp,7
mnist,img_0001_2.bmp,2
mnist,img_0002_1.bmp,1
mnist,img_0003_0.bmp,0
mnist,img_0004_4.bmp,4
mnist,img_0005_1.bmp,1
mnist,img_0006_4.bmp,4
mnist,img_0007_9.bmp,9
mnist,img_0008_5.bmp,5
mnist,img_0009_9.bmp,9
mnist,img_0010_0.bmp,0
mnist,img_0011_6.bmp,6
mnist,img_0012_9.bmp,9
mnist,img_0013_0.bmp,0
mnist,img_0014_1.bmp,1
mnist,img_0015_5.bmp,5
mnist,img_0016_9.bmp,9
mnist,img_0017_7.bmp,7
mnist,img_0018_3.bmp,3
mnist,img_0019_4.bmp,4
mnist,img_0020_9.bmp,9
mnist,img_0021_6.bmp,6
mnist,img_0022_6.bmp,6
mnist,img_0023_5.bmp,5
mnist,img_0024_4.bmp,4
mnist,img_0025_0.bmp,0
mnist,img_0026_7.bmp,7
mnist,img_0027_4.bmp,4
mnist,img_0028_0.bmp,0
mnist,img_0029_1.bmp,1
mnist,img_0030_3.bmp,3
mnist,img_0031_1.bmp,1
mnist,img_0032_3.bmp,3
mnist,img_0033_4.bmp,4
mnist,img_0034_7.bmp,7
mnist,img_0035_2.bmp,2
mnist,img_0036_7.bmp,7
mnist,img_0037_1.bmp,1
mnist,img_0038_2.bmp,2
mnist,img_0039_1.bmp,1
mnist,img_0040_1.bmp,1
mnist,img_0041_7.bmp,7
mnist,img_0042_4.bmp,4
mnist,img_0043_2.bmp,2
mnist,img_0044_3.bmp,3
mnist,img_0045_5.bmp,5
mnist,img_0046_1.bmp,1
mnist,img_0047_2.bmp,2
mnist,img_0048_4.bmp,4
mnist,img_0049_4.bmp,4
mnist,img_0050_6.bmp,6
mnist,img_0051_3.bmp,3
mnist,img_0052_5.bmp,5
mnist,img_0053_5.bmp,5
mnist,img_0054_6.bmp,6
mnist,img_0055_0.bmp,0
mnist,img_0056_4.bmp,4
mnist,img_0057_1.bmp,1
mnist,img_0058_9.bmp,9
mnist,img_0059_5.bmp,5
mnist,img_0060_7.bmp,7
mnist,img_0061_8.bmp,8
mnist,img_0062_9.bmp,9
mnist,img_0063_3.bmp,3
mnist,img_0064_7.bmp,7
mnist,img_0065_4.bmp,4
mnist,img_0066_6.bmp,6
mnist,img_0067_4.bmp,4
mnist,img_0068_3.bmp,3
mnist,img_0069_0.bmp,0
mnist,img_0070_7.bmp,7
mnist,img_0071_0.bmp,0
mnist,img_0072_2.bmp,2
mnist,img_0073_9.bmp,9
mnist,img_0074_1.bmp,1
mnist,img_0075_7.bmp,7
mnist,img_0076_3.bmp,3
mnist,img_0077_2.bmp,2
mnist,img_0078_9.bmp,9
mnist,img_0079_7.bmp,7
mnist,img_0080_7.bmp,7
mnist,img_0081_6.bmp,6
mnist,img_0082_2.bmp,2
mnist,img_0083_7.bmp,7
mnist,img_0084_8.bmp,8
mnist,img_0085_4.bmp,4
