time,filename,raw_filename,label,pc_p,pc_f,pc_c
2026-07-03T22:48:48,web_20260703_224848_086937_7.bmp,web_20260703_224848_086937_7_raw.png,7,7:46,7:41,7:43
2026-07-03T22:49:01,web_20260703_224900_966252_8.bmp,web_20260703_224900_966252_8_raw.png,8,8:34,8:30,8:42
2026-07-03T22:49:10,web_20260703_224910_040259_9.bmp,web_20260703_224910_040259_9_raw.png,9,9:37,9:40,9:40
2026-07-03T22:49:26,web_20260703_224926_184748_0.bmp,web_20260703_224926_184748_0_raw.png,0,0:45,0:48,0:52
2026-07-03T22:49:31,web_20260703_224931_505539_2.bmp,web_20260703_224931_505539_2_raw.png,2,2:42,2:39,2:44
2026-07-03T22:49:38,web_20260703_224938_815688_4.bmp,web_20260703_224938_815688_4_raw.png,4,4:15,4:8,4:33
2026-07-03T22:49:46,web_20260703_224946_120097_3.bmp,web_20260703_224946_120097_3_raw.png,3,3:50,3:47,3:38
2026-07-03T22:49:53,web_20260703_224953_076749_1.bmp,web_20260703_224953_076749_1_raw.png,1,1:44,1:50,1:57
2026-07-03T22:50:37,web_20260703_225037_365813_5.bmp,web_20260703_225037_365813_5_raw.png,5,5:23,5:6,5:34
2026-07-03T22:50:48,web_20260703_225048_824682_6.bmp,web_20260703_225048_824682_6_raw.png,6,6:40,5:7,6:39
2026-07-03T22:51:03,web_20260703_225103_709171_1.bmp,web_20260703_225103_709171_1_raw.png,1,1:43,1:50,1:57
2026-07-03T22:51:08,web_20260703_225108_379290_1.bmp,web_20260703_225108_379290_1_raw.png,1,1:42,1:51,1:57
2026-07-03T22:51:11,web_20260703_225111_941364_1.bmp,web_20260703_225111_941364_1_raw.png,1,1:46,1:50,1:45
2026-07-03T22:51:15,web_20260703_225115_103304_1.bmp,web_20260703_225115_103304_1_raw.png,1,1:42,1:49,1:57
2026-07-03T22:51:32,web_20260703_225132_834810_0.bmp,web_20260703_225132_834810_0_raw.png,0,0:38,0:44,0:52
2026-07-03T22:51:41,web_20260703_225141_385589_0.bmp,web_20260703_225141_385589_0_raw.png,0,0:39,0:49,0:50
2026-07-03T22:51:56,web_20260703_225155_958105_0.bmp,web_20260703_225155_958105_0_raw.png,0,0:36,0:46,0:50
2026-07-03T22:52:06,web_20260703_225206_412804_0.bmp,web_20260703_225206_412804_0_raw.png,0,0:40,0:45,0:48
